"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Afghanistan||NA",2020-01-22,"Afghanistan","",NA,33,65,0,0,0,0,0,0,37172386,0.430901755117794,0.543248975483403,0.0258492693988024,19.5,56.937760009803,0.006575
"Albania||NA",2020-01-22,"Albania","",NA,41.1533,20.1683,0,0,0,0,0,0,2866376,0.17672873724304,0.685823903647225,0.137447359109736,34.3,104.612262773723,0.007714
"Algeria||NA",2020-01-22,"Algeria","",NA,28.0339,1.6596,0,0,0,0,0,0,42228429,0.301486785862257,0.634888248687945,0.0636249654497986,28.9,17.7300750711665,0.004717
"Andorra||NA",2020-01-22,"Andorra","",NA,42.5063,1.5218,0,0,0,0,0,0,77006,0.156,0.714,0.13,46.2,163.842553191489,0.0043
"Angola||NA",2020-01-22,"Angola","",NA,-11.2027,17.8739,0,0,0,0,0,0,30809762,0.468089247095412,0.509747016426956,0.0221637364776329,15.9,24.7130520574316,0.008432
"Antigua and Barbuda||NA",2020-01-22,"Antigua and Barbuda","",NA,17.0608,-61.7964,0,0,0,0,0,0,96286,0.220810917475022,0.691190827326922,0.0879982551980558,32.7,218.831818181818,0.006316
"Argentina||NA",2020-01-22,"Argentina","",NA,-38.4161,-63.6167,0,0,0,0,0,0,44494502,0.247609338351238,0.641212772887989,0.111177888760774,32.4,16.2585100979651,0.007616
"Armenia||NA",2020-01-22,"Armenia","",NA,40.0691,45.0382,0,0,0,0,0,0,2951776,0.206334219249969,0.6811276041799,0.112538176570131,36.6,103.680224798033,0.009862
"Australia|Tasmania|NA",2020-01-22,"Australia","Tasmania",NA,-41.4545,145.9707,0,0,0,0,0,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Australia|South Australia|NA",2020-01-22,"Australia","South Australia",NA,-34.9285,138.6007,0,0,0,0,0,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Australia|Western Australia|NA",2020-01-22,"Australia","Western Australia",NA,-31.9505,115.8605,0,0,0,0,0,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Australia|Victoria|NA",2020-01-22,"Australia","Victoria",NA,-37.8136,144.9631,0,0,0,0,0,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Australia|Australian Capital Territory|NA",2020-01-22,"Australia","Australian Capital Territory",NA,-35.4735,149.0124,0,0,0,0,0,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Australia|Northern Territory|NA",2020-01-22,"Australia","Northern Territory",NA,-12.4634,130.8456,0,0,0,0,0,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Australia|Queensland|NA",2020-01-22,"Australia","Queensland",NA,-28.0167,153.4,0,0,0,0,0,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Australia|New South Wales|NA",2020-01-22,"Australia","New South Wales",NA,-33.8688,151.2093,0,0,0,0,0,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Austria||NA",2020-01-22,"Austria","",NA,47.5162,14.5501,0,0,0,0,0,0,8847037,0.142979476320233,0.667004859083869,0.190015664595899,44.5,107.206926667578,0.0095
